Name,OS,DataCenter,IsVirtual,ParentServer
SRV-010255,VirtualBox,DC-3,No,N/A
SRV-010256,VirtualBox,DC-2,No,N/A
SRV-010257,VirtualBox,DC-1,No,N/A
SRV-010258,VirtualBox,DC-4,No,N/A
SRV-010259,VirtualBox,DC-6,No,N/A
SRV-010260,VirtualBox,DC-8,No,N/A
SRV-010261,VirtualBox,DC-6,No,N/A
SRV-010262,VirtualBox,DC-8,No,N/A
SRV-010263,VirtualBox,DC-10,No,N/A
SRV-010264,VirtualBox,DC-1,No,N/A
SRV-010265,VirtualBox,DC-4,No,N/A
SRV-010266,VirtualBox,DC-4,No,N/A
SRV-010267,VirtualBox,DC-3,No,N/A
SRV-010268,VirtualBox,DC-8,No,N/A
SRV-010269,VirtualBox,DC-10,No,N/A
SRV-010270,VirtualBox,DC-8,No,N/A
SRV-010271,VirtualBox,DC-1,No,N/A
SRV-010272,VirtualBox,DC-1,No,N/A
SRV-010273,VirtualBox,DC-2,No,N/A
SRV-010274,VirtualBox,DC-9,No,N/A
SRV-010275,VirtualBox,DC-7,No,N/A
SRV-010276,VirtualBox,DC-5,No,N/A
SRV-010277,VirtualBox,DC-8,No,N/A
SRV-010278,VirtualBox,DC-1,No,N/A
SRV-010279,VirtualBox,DC-1,No,N/A
SRV-010280,VirtualBox,DC-3,No,N/A
SRV-010281,VirtualBox,DC-1,No,N/A
SRV-010282,VirtualBox,DC-6,No,N/A
SRV-010283,VirtualBox,DC-5,No,N/A
SRV-010284,VirtualBox,DC-7,No,N/A
SRV-010285,VirtualBox,DC-4,No,N/A
SRV-010286,VirtualBox,DC-1,No,N/A
SRV-010287,VirtualBox,DC-7,No,N/A
SRV-010288,VirtualBox,DC-7,No,N/A
SRV-010289,VirtualBox,DC-1,No,N/A
SRV-010290,VirtualBox,DC-4,No,N/A
SRV-010291,VirtualBox,DC-9,No,N/A
SRV-010292,VirtualBox,DC-10,No,N/A
SRV-010293,VirtualBox,DC-3,No,N/A
SRV-010294,VirtualBox,DC-9,No,N/A
SRV-010295,VirtualBox,DC-2,No,N/A
SRV-010296,VirtualBox,DC-4,No,N/A
SRV-010297,VirtualBox,DC-1,No,N/A
SRV-010298,VirtualBox,DC-6,No,N/A
SRV-010299,VirtualBox,DC-2,No,N/A
SRV-010300,VirtualBox,DC-8,No,N/A
SRV-010301,VirtualBox,DC-3,No,N/A
SRV-010302,VirtualBox,DC-8,No,N/A
SRV-010303,VirtualBox,DC-9,No,N/A
SRV-010304,VirtualBox,DC-9,No,N/A
SRV-010305,VirtualBox,DC-4,No,N/A
SRV-010306,VirtualBox,DC-4,No,N/A
SRV-010307,VirtualBox,DC-9,No,N/A
SRV-010308,VirtualBox,DC-3,No,N/A
SRV-010309,VirtualBox,DC-5,No,N/A
SRV-010310,VirtualBox,DC-1,No,N/A
SRV-010311,VirtualBox,DC-7,No,N/A
SRV-010312,VirtualBox,DC-6,No,N/A
SRV-010313,VirtualBox,DC-6,No,N/A
SRV-010314,VirtualBox,DC-3,No,N/A
SRV-010315,VirtualBox,DC-8,No,N/A
SRV-010316,VirtualBox,DC-4,No,N/A
SRV-010317,VirtualBox,DC-3,No,N/A
SRV-010318,VirtualBox,DC-1,No,N/A
SRV-010319,VirtualBox,DC-1,No,N/A
SRV-010320,VirtualBox,DC-5,No,N/A
SRV-010321,VirtualBox,DC-8,No,N/A
SRV-010322,VirtualBox,DC-6,No,N/A
SRV-010323,VirtualBox,DC-1,No,N/A
SRV-010324,VirtualBox,DC-7,No,N/A
SRV-010325,VirtualBox,DC-9,No,N/A
SRV-010326,VirtualBox,DC-2,No,N/A
SRV-010327,VirtualBox,DC-5,No,N/A
SRV-010328,VirtualBox,DC-9,No,N/A
SRV-010329,VirtualBox,DC-8,No,N/A
SRV-010330,VirtualBox,DC-8,No,N/A
SRV-010331,VirtualBox,DC-2,No,N/A
SRV-010332,VirtualBox,DC-2,No,N/A
SRV-010333,VirtualBox,DC-1,No,N/A
SRV-010334,VirtualBox,DC-3,No,N/A
SRV-010335,VirtualBox,DC-7,No,N/A
SRV-010336,VirtualBox,DC-5,No,N/A
SRV-010337,VirtualBox,DC-6,No,N/A
SRV-010338,VirtualBox,DC-9,No,N/A
SRV-010339,VirtualBox,DC-2,No,N/A
SRV-010340,VirtualBox,DC-2,No,N/A
SRV-010341,VirtualBox,DC-8,No,N/A
SRV-010342,VirtualBox,DC-7,No,N/A
SRV-010343,VirtualBox,DC-5,No,N/A
SRV-010344,VirtualBox,DC-8,No,N/A
SRV-010345,VirtualBox,DC-10,No,N/A
SRV-010346,VirtualBox,DC-7,No,N/A
SRV-010347,VirtualBox,DC-2,No,N/A
SRV-010348,VirtualBox,DC-3,No,N/A
SRV-010349,VirtualBox,DC-5,No,N/A
SRV-010350,VirtualBox,DC-3,No,N/A
SRV-010351,VirtualBox,DC-6,No,N/A
SRV-010352,VirtualBox,DC-2,No,N/A
SRV-010353,VirtualBox,DC-4,No,N/A
SRV-010354,VirtualBox,DC-3,No,N/A
SRV-010355,VirtualBox,DC-8,No,N/A
SRV-010356,VirtualBox,DC-3,No,N/A
SRV-010357,VirtualBox,DC-7,No,N/A
SRV-010358,VirtualBox,DC-4,No,N/A
SRV-010359,VirtualBox,DC-3,No,N/A
SRV-010360,VirtualBox,DC-9,No,N/A
SRV-010361,VirtualBox,DC-6,No,N/A
SRV-010362,VirtualBox,DC-2,No,N/A
SRV-010363,VirtualBox,DC-5,No,N/A
SRV-010364,VirtualBox,DC-8,No,N/A
SRV-010365,VirtualBox,DC-9,No,N/A
SRV-010366,VirtualBox,DC-1,No,N/A
SRV-010367,VirtualBox,DC-6,No,N/A
SRV-010368,VirtualBox,DC-9,No,N/A
SRV-010369,VirtualBox,DC-4,No,N/A
SRV-010370,VirtualBox,DC-7,No,N/A
SRV-010371,VirtualBox,DC-1,No,N/A
SRV-010372,VirtualBox,DC-5,No,N/A
SRV-010373,VirtualBox,DC-8,No,N/A
SRV-010374,VirtualBox,DC-6,No,N/A
SRV-010375,VirtualBox,DC-7,No,N/A
SRV-010376,VirtualBox,DC-9,No,N/A
SRV-010377,VirtualBox,DC-8,No,N/A
SRV-010378,VirtualBox,DC-7,No,N/A
SRV-010379,VirtualBox,DC-1,No,N/A
SRV-010380,VirtualBox,DC-8,No,N/A
SRV-010381,VirtualBox,DC-8,No,N/A
SRV-010382,VirtualBox,DC-9,No,N/A
SRV-010383,VirtualBox,DC-8,No,N/A
SRV-010384,VirtualBox,DC-5,No,N/A
SRV-010385,VirtualBox,DC-2,No,N/A
SRV-010386,VirtualBox,DC-10,No,N/A
SRV-010387,VirtualBox,DC-10,No,N/A
SRV-010388,VirtualBox,DC-4,No,N/A
SRV-010389,VirtualBox,DC-7,No,N/A
SRV-010390,VirtualBox,DC-5,No,N/A
SRV-010391,VirtualBox,DC-8,No,N/A
SRV-010392,VirtualBox,DC-5,No,N/A
SRV-010393,VirtualBox,DC-1,No,N/A
SRV-010394,VirtualBox,DC-4,No,N/A
SRV-010395,VirtualBox,DC-3,No,N/A
SRV-010396,VirtualBox,DC-5,No,N/A
SRV-010397,VirtualBox,DC-7,No,N/A
SRV-010398,VirtualBox,DC-3,No,N/A
SRV-010399,VirtualBox,DC-3,No,N/A
SRV-010400,VirtualBox,DC-7,No,N/A
SRV-010401,VirtualBox,DC-7,No,N/A
SRV-010402,VirtualBox,DC-2,No,N/A
SRV-010403,VirtualBox,DC-10,No,N/A
SRV-010404,VirtualBox,DC-6,No,N/A
SRV-010405,VirtualBox,DC-8,No,N/A
SRV-010406,VirtualBox,DC-9,No,N/A
SRV-010407,VirtualBox,DC-8,No,N/A
SRV-010408,VirtualBox,DC-4,No,N/A
SRV-010409,VirtualBox,DC-10,No,N/A
SRV-010410,VirtualBox,DC-2,No,N/A
SRV-010411,VirtualBox,DC-7,No,N/A
SRV-010412,VirtualBox,DC-7,No,N/A
SRV-010413,VirtualBox,DC-3,No,N/A
SRV-010414,VirtualBox,DC-8,No,N/A
SRV-010415,VirtualBox,DC-9,No,N/A
SRV-010416,VirtualBox,DC-7,No,N/A
SRV-010417,VirtualBox,DC-9,No,N/A
SRV-010418,VirtualBox,DC-2,No,N/A
SRV-010419,VirtualBox,DC-4,No,N/A
SRV-010420,VirtualBox,DC-8,No,N/A
SRV-010421,VirtualBox,DC-2,No,N/A
SRV-010422,VirtualBox,DC-4,No,N/A
SRV-010423,VirtualBox,DC-6,No,N/A
SRV-010424,VirtualBox,DC-8,No,N/A
SRV-010425,VirtualBox,DC-9,No,N/A
SRV-010426,VirtualBox,DC-4,No,N/A
SRV-010427,VirtualBox,DC-8,No,N/A
SRV-010428,VirtualBox,DC-1,No,N/A
SRV-010429,VirtualBox,DC-10,No,N/A
SRV-010430,VirtualBox,DC-9,No,N/A
SRV-010431,VirtualBox,DC-6,No,N/A
SRV-010432,VirtualBox,DC-2,No,N/A
SRV-010433,VirtualBox,DC-7,No,N/A
SRV-010434,VirtualBox,DC-6,No,N/A
SRV-010435,VirtualBox,DC-3,No,N/A
SRV-010436,VirtualBox,DC-8,No,N/A
SRV-010437,VirtualBox,DC-5,No,N/A
SRV-010438,VirtualBox,DC-10,No,N/A
SRV-010439,VirtualBox,DC-2,No,N/A
SRV-010440,VirtualBox,DC-10,No,N/A
SRV-010441,VirtualBox,DC-7,No,N/A
SRV-010442,VirtualBox,DC-2,No,N/A
SRV-010443,VirtualBox,DC-8,No,N/A
SRV-010444,VirtualBox,DC-3,No,N/A
SRV-010445,VirtualBox,DC-7,No,N/A
SRV-010446,VirtualBox,DC-8,No,N/A
SRV-010447,VirtualBox,DC-5,No,N/A
SRV-010448,VirtualBox,DC-5,No,N/A
SRV-010449,VirtualBox,DC-10,No,N/A
SRV-010450,VirtualBox,DC-8,No,N/A
SRV-010451,VirtualBox,DC-6,No,N/A
SRV-010452,VirtualBox,DC-4,No,N/A
SRV-010453,VirtualBox,DC-10,No,N/A
SRV-010454,VirtualBox,DC-8,No,N/A
SRV-010455,VirtualBox,DC-2,No,N/A
SRV-010456,VirtualBox,DC-10,No,N/A
SRV-010457,VirtualBox,DC-4,No,N/A
SRV-010458,VirtualBox,DC-8,No,N/A
SRV-010459,VirtualBox,DC-2,No,N/A
SRV-010460,VirtualBox,DC-9,No,N/A
SRV-010461,VirtualBox,DC-5,No,N/A
SRV-010462,VirtualBox,DC-3,No,N/A
SRV-010463,VirtualBox,DC-6,No,N/A
SRV-010464,VirtualBox,DC-6,No,N/A
SRV-010465,VirtualBox,DC-1,No,N/A
SRV-010466,VirtualBox,DC-10,No,N/A
SRV-010467,VirtualBox,DC-6,No,N/A
SRV-010468,VirtualBox,DC-2,No,N/A
SRV-010469,VirtualBox,DC-5,No,N/A
SRV-010470,VirtualBox,DC-3,No,N/A
SRV-010471,VirtualBox,DC-4,No,N/A
SRV-010472,VirtualBox,DC-2,No,N/A
SRV-010473,VirtualBox,DC-1,No,N/A
SRV-010474,VirtualBox,DC-8,No,N/A
SRV-010475,VirtualBox,DC-2,No,N/A
SRV-010476,VirtualBox,DC-1,No,N/A
SRV-010477,VirtualBox,DC-2,No,N/A
SRV-010478,VirtualBox,DC-8,No,N/A
SRV-010479,VirtualBox,DC-2,No,N/A
SRV-010480,VirtualBox,DC-10,No,N/A
SRV-010481,VirtualBox,DC-10,No,N/A
SRV-010482,VirtualBox,DC-5,No,N/A
SRV-010483,VirtualBox,DC-10,No,N/A
SRV-010484,VirtualBox,DC-10,No,N/A
SRV-010485,VirtualBox,DC-5,No,N/A
SRV-010486,VirtualBox,DC-3,No,N/A
SRV-010487,VirtualBox,DC-6,No,N/A
SRV-010488,VirtualBox,DC-7,No,N/A
SRV-010489,VirtualBox,DC-7,No,N/A
SRV-010490,VirtualBox,DC-1,No,N/A
SRV-010491,VirtualBox,DC-8,No,N/A
SRV-010492,VirtualBox,DC-10,No,N/A
SRV-010493,VirtualBox,DC-2,No,N/A
SRV-010494,VirtualBox,DC-2,No,N/A
SRV-010495,VirtualBox,DC-10,No,N/A
SRV-010496,VirtualBox,DC-3,No,N/A
SRV-010497,VirtualBox,DC-7,No,N/A
SRV-010498,VirtualBox,DC-8,No,N/A
SRV-010499,VirtualBox,DC-4,No,N/A
SRV-010500,VirtualBox,DC-8,No,N/A
SRV-010501,VirtualBox,DC-8,No,N/A
SRV-010502,VirtualBox,DC-9,No,N/A
SRV-010503,VirtualBox,DC-6,No,N/A
SRV-010504,VirtualBox,DC-10,No,N/A
SRV-010505,VirtualBox,DC-9,No,N/A
SRV-010506,VirtualBox,DC-6,No,N/A
SRV-010507,VirtualBox,DC-3,No,N/A
SRV-010508,VirtualBox,DC-10,No,N/A
SRV-010509,VirtualBox,DC-7,No,N/A
SRV-010510,VirtualBox,DC-10,No,N/A
SRV-010511,VirtualBox,DC-5,No,N/A
SRV-010512,VirtualBox,DC-8,No,N/A
SRV-010513,VirtualBox,DC-8,No,N/A
SRV-010514,VirtualBox,DC-10,No,N/A
SRV-010515,VirtualBox,DC-9,No,N/A
SRV-010516,VirtualBox,DC-8,No,N/A
SRV-010517,VirtualBox,DC-4,No,N/A
SRV-010518,VirtualBox,DC-8,No,N/A
SRV-010519,VirtualBox,DC-4,No,N/A
SRV-010520,VirtualBox,DC-7,No,N/A
SRV-010521,VirtualBox,DC-7,No,N/A
SRV-010522,VirtualBox,DC-3,No,N/A
SRV-010523,VirtualBox,DC-10,No,N/A
SRV-010524,VirtualBox,DC-5,No,N/A
SRV-010525,VirtualBox,DC-4,No,N/A
SRV-010526,VirtualBox,DC-6,No,N/A
SRV-010527,VirtualBox,DC-2,No,N/A
SRV-010528,VirtualBox,DC-3,No,N/A
SRV-010529,VirtualBox,DC-10,No,N/A
SRV-010530,VirtualBox,DC-1,No,N/A
SRV-010531,VirtualBox,DC-6,No,N/A
SRV-010532,VirtualBox,DC-9,No,N/A
SRV-010533,VirtualBox,DC-2,No,N/A
SRV-010534,VirtualBox,DC-8,No,N/A
SRV-010535,VirtualBox,DC-1,No,N/A
SRV-010536,VirtualBox,DC-7,No,N/A
SRV-010537,VirtualBox,DC-9,No,N/A
SRV-010538,VirtualBox,DC-7,No,N/A
SRV-010539,VirtualBox,DC-1,No,N/A
SRV-010540,VirtualBox,DC-8,No,N/A
SRV-010541,VirtualBox,DC-6,No,N/A
SRV-010542,VirtualBox,DC-7,No,N/A
SRV-010543,VirtualBox,DC-4,No,N/A
SRV-010544,VirtualBox,DC-7,No,N/A
SRV-010545,VirtualBox,DC-7,No,N/A
SRV-010546,VirtualBox,DC-6,No,N/A
SRV-010547,VirtualBox,DC-8,No,N/A
SRV-010548,VirtualBox,DC-10,No,N/A
SRV-010549,VirtualBox,DC-8,No,N/A
SRV-010550,VirtualBox,DC-10,No,N/A
SRV-010551,VirtualBox,DC-4,No,N/A
SRV-010552,VirtualBox,DC-3,No,N/A
SRV-010553,VirtualBox,DC-9,No,N/A
SRV-010554,VirtualBox,DC-8,No,N/A
SRV-010555,VirtualBox,DC-5,No,N/A
SRV-010556,VirtualBox,DC-2,No,N/A
SRV-010557,VirtualBox,DC-7,No,N/A
SRV-010558,VirtualBox,DC-1,No,N/A
